,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
27,28,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.29,0.01,182,121,93,239.7,119.2,66.9,0.98,5
28,29,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.41,0.07,229,197,151,251.3,117.7,66.0,1.0,7
29,30,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.9,0.11,229,197,151,147.2,120.5,62.7,0.57,7
30,31,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.1,0.01,229,167,116,242.2,123.1,64.1,0.98,6
31,32,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.39,0.01,229,207,142,255.1,119.1,65.8,1.03,1
32,33,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.44,0.01,229,167,116,133.3,124.5,67.3,0.57,6
33,34,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.19,0.01,223,145,121,257.3,125.3,68.2,1.13,3
34,35,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.35,0.01,229,194,144,240.3,114.9,66.3,0.94,8
35,36,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.38,0.01,223,145,121,260.9,124.8,64.9,1.08,3
36,37,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.27,0.01,203,183,115,243.0,116.7,61.8,0.9,0
37,38,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.27,0.01,151,115,103,259.8,115.9,67.7,1.05,2
38,39,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.43,0.01,229,207,142,230.9,118.0,67.0,0.94,1
39,40,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.47,0.01,229,167,116,250.6,115.7,67.9,1.01,6
40,41,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.17,0.01,229,195,149,240.5,121.5,67.5,1.01,7
41,42,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.4,0.01,223,145,121,247.8,115.1,62.1,0.91,3
42,43,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.01,182,121,93,186.2,119.0,66.1,0.75,5
43,44,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.09,229,197,151,242.5,121.2,68.2,1.03,7
44,45,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.7,0.01,229,207,142,248.6,122.7,68.0,1.06,1
45,46,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.45,0.01,229,197,151,247.5,123.8,66.2,1.04,7
46,47,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.16,0.01,223,145,121,257.3,122.0,62.6,1.01,3
47,48,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.9,0.12,229,197,121,237.8,115.7,64.2,0.91,4
48,49,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.7,0.12,151,115,103,143.1,123.6,65.4,0.59,2
49,50,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.17,0.09,229,195,149,245.2,124.1,64.5,1.01,7
50,51,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.15,0.01,151,115,103,241.2,125.7,67.3,1.05,2
51,52,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.43,0.01,223,145,121,261.9,123.2,66.7,1.1,3
52,53,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.09,229,192,121,195.7,119.2,63.3,0.76,4
53,54,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.37,0.13,203,183,115,247.2,118.3,65.3,0.98,0
54,55,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.1,229,194,144,244.7,120.3,62.7,0.95,8
55,56,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.7,0.01,229,197,151,253.4,120.3,63.0,0.98,7
56,57,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.27,0.12,203,183,115,255.0,125.7,62.1,1.02,0
57,58,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.01,229,194,144,243.8,125.3,62.4,0.98,8
58,59,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.41,0.01,229,194,144,249.0,122.7,64.4,1.01,8
59,60,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.14,0.15,203,183,115,261.0,125.2,63.5,1.06,0
60,61,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.44,0.01,229,207,142,260.8,122.1,63.0,1.03,1
61,62,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.13,0.01,229,195,149,140.5,125.2,62.0,0.56,7
62,63,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,151,115,103,241.6,121.0,62.5,0.94,2
63,64,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.07,0.01,229,194,144,248.4,124.5,63.5,1.01,8
64,65,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.12,203,183,115,251.7,114.4,66.8,0.99,0
65,66,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.18,0.08,203,183,115,259.6,118.0,66.3,1.04,0
66,67,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.16,0.01,223,145,121,239.2,114.2,64.0,0.9,3
67,68,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.6,0.13,229,192,121,254.9,120.1,66.4,1.04,4
68,69,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.49,0.01,229,192,121,242.9,115.6,68.2,0.98,4
69,70,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.01,203,183,115,258.3,117.4,63.9,0.99,0
70,71,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.36,0.14,229,197,121,238.3,117.0,63.7,0.91,4
71,72,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.1,0.01,151,115,103,247.2,124.6,61.8,0.98,2
72,73,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.36,0.01,229,197,121,259.0,121.5,67.9,1.1,4
73,74,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.34,0.01,229,195,149,255.8,123.4,68.1,1.1,7
74,75,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.38,0.01,229,192,121,245.3,122.4,63.6,0.98,4
75,76,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.1,0.08,229,192,121,244.4,121.7,64.3,0.98,4
76,77,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.01,229,207,142,246.6,114.2,61.8,0.89,1
77,78,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.09,182,121,93,259.5,123.2,67.7,1.11,5
78,79,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.11,0.01,229,197,151,261.5,114.2,62.5,0.96,7
79,80,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.4,0.01,229,197,121,239.3,118.8,62.4,0.91,4
80,81,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.36,0.01,182,121,93,257.7,116.2,67.4,1.04,5
81,82,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.24,0.01,229,167,116,258.7,121.1,66.2,1.06,6
82,83,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.01,229,207,142,248.0,123.4,67.2,1.05,1
83,84,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.37,0.01,229,203,145,240.9,119.1,63.2,0.93,9
84,85,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.12,0.01,151,115,103,248.9,114.7,64.9,0.95,2
85,86,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,203,145,238.6,114.4,66.8,0.94,9
86,87,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,207,142,241.2,124.8,62.2,0.96,1
87,88,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.32,0.01,229,167,116,170.3,117.1,64.8,0.66,6
88,89,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.9,0.01,229,203,145,243.5,117.6,63.7,0.94,9
89,90,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.05,0.01,151,115,103,245.0,124.6,68.1,1.07,2
90,91,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.17,0.01,229,203,145,247.0,118.2,61.9,0.93,9
91,92,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.0,0.01,229,197,151,261.3,124.6,62.9,1.05,7
92,93,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.4,0.01,229,167,116,253.3,123.0,64.1,1.02,6
93,94,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.44,0.01,203,183,115,184.0,120.4,66.9,0.76,0
94,95,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.46,0.14,229,195,149,254.8,114.8,66.4,1.0,7
95,96,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.12,0.01,223,145,121,220.9,115.2,64.1,0.84,3
96,97,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.16,0.01,229,203,145,260.9,119.1,63.5,1.01,9
97,98,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.11,0.01,229,167,116,201.1,119.5,66.6,0.82,6
98,99,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.7,0.08,229,167,116,208.5,114.8,62.3,0.76,6
99,100,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.08,0.01,229,197,121,249.6,117.1,67.4,1.01,4
100,101,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.24,0.01,229,197,151,241.2,120.5,65.9,0.98,7
101,102,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.7,0.07,182,121,93,250.1,121.4,62.6,0.97,5
102,103,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.25,0.11,182,121,93,242.5,119.0,65.8,0.97,5
103,104,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.01,229,207,142,244.4,116.2,63.1,0.92,1
104,105,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.4,0.01,229,192,121,245.0,118.1,64.0,0.95,4
105,106,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,197,121,254.0,116.0,66.9,1.01,4
106,107,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.12,0.01,229,197,151,252.9,123.7,64.5,1.03,7
107,108,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.22,0.01,223,145,121,241.0,120.2,63.4,0.94,3
108,109,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.31,0.01,229,197,121,258.2,123.6,65.7,1.08,4
109,110,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,229,167,116,250.8,114.8,62.9,0.93,6
110,111,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.27,0.11,229,195,149,261.2,118.7,67.1,1.07,7
111,112,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,194,144,252.9,122.0,63.0,1.0,8
112,113,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.4,0.01,229,195,149,241.2,116.9,66.5,0.96,7
113,114,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,182,121,93,238.8,124.2,62.4,0.95,5
114,115,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.35,0.01,229,195,149,204.0,115.3,68.0,0.82,7
115,116,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.28,0.01,223,145,121,248.4,117.4,66.7,1.0,3
116,117,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.41,0.01,223,145,121,142.5,124.6,61.8,0.56,3
117,118,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.35,0.12,229,197,121,259.1,120.9,66.5,1.07,4
118,119,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.46,0.01,229,167,116,255.5,124.7,65.2,1.07,6
119,120,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.01,229,207,142,255.5,120.4,63.3,1.0,1
120,121,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.15,0.01,229,207,142,257.4,116.2,62.6,0.96,1
121,122,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.47,0.14,229,207,142,258.9,116.5,62.8,0.97,1
122,123,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.29,0.01,229,167,116,246.4,122.3,66.2,1.02,6
123,124,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.37,0.13,223,145,121,261.7,120.8,67.7,1.1,3
124,125,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.4,0.01,229,167,116,261.1,124.7,67.7,1.13,6
125,126,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.13,0.01,203,183,115,201.3,119.7,67.3,0.83,0
126,127,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.44,0.01,182,121,93,250.7,117.3,66.4,1.0,5
127,128,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.17,0.01,203,183,115,250.9,122.1,63.8,1.0,0
128,129,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.35,0.08,229,197,121,262.1,118.5,62.0,0.99,4
129,130,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.08,229,195,149,248.8,124.1,65.6,1.04,7
130,131,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.15,0.01,229,197,151,249.7,122.5,62.2,0.98,7
131,132,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,151,115,103,249.9,125.7,67.0,1.08,2
132,133,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.18,0.07,182,121,93,149.9,120.9,63.8,0.59,5
133,134,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.48,0.01,151,115,103,130.8,122.0,65.6,0.54,2
134,135,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.31,0.01,229,195,149,253.7,121.9,65.4,1.04,7
135,136,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.12,0.01,151,115,103,249.9,119.5,64.0,0.98,2
136,137,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.0,0.13,229,195,149,143.8,120.8,66.4,0.59,7
137,138,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.06,0.01,229,197,121,244.2,122.4,62.7,0.96,4
138,139,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.06,0.14,229,192,121,154.2,119.0,64.2,0.6,4
139,140,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.06,0.14,182,121,93,237.8,119.4,66.8,0.97,5
140,141,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,182,121,93,202.6,120.0,62.7,0.78,5
141,142,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.48,0.01,229,197,121,253.5,123.7,65.5,1.05,4
142,143,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.21,0.01,229,197,151,243.4,117.2,61.9,0.91,7
143,144,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.11,0.07,229,192,121,259.2,118.2,67.7,1.06,4
144,145,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.42,0.01,229,197,121,242.9,118.8,67.5,1.0,4
145,146,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.0,0.01,223,145,121,258.2,115.7,62.4,0.96,3
146,147,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.48,0.1,223,145,121,128.4,125.1,64.6,0.53,3
147,148,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.49,0.01,229,195,149,238.6,116.8,63.0,0.9,7
148,149,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.7,0.01,229,197,151,238.2,117.0,62.5,0.89,7
149,150,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.01,223,145,121,242.8,123.6,62.2,0.96,3
150,151,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.22,0.13,229,207,142,254.1,119.7,63.9,1.0,1
151,152,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.45,0.1,229,167,116,251.6,121.4,66.2,1.04,6
152,153,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.9,0.01,223,145,121,253.3,121.1,67.9,1.07,3
153,154,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.32,0.1,151,115,103,244.0,116.8,66.2,0.97,2
154,155,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.1,0.01,182,121,93,256.4,120.3,65.3,1.03,5
155,156,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,229,207,142,210.1,119.6,61.9,0.8,1
156,157,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.49,0.01,229,197,151,238.7,117.1,64.9,0.93,7
157,158,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.45,0.1,229,195,149,246.6,123.7,64.6,1.01,7
158,159,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.47,0.14,229,195,149,255.0,120.6,64.6,1.02,7
159,160,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.25,0.01,229,192,121,260.7,119.8,64.0,1.03,4
160,161,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.42,0.01,229,197,121,259.8,114.7,62.9,0.96,4
161,162,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.8,0.01,229,197,151,252.0,121.9,66.9,1.05,7
162,163,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.41,0.01,229,194,144,160.9,117.1,68.2,0.66,8
163,164,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.14,0.01,229,197,121,238.3,118.3,65.2,0.94,4
164,165,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.18,0.08,203,183,115,262.3,123.1,64.5,1.07,0
165,166,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.01,229,194,144,243.5,117.3,62.7,0.92,8
166,167,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.13,0.01,229,195,149,242.4,124.8,63.6,0.99,7
167,168,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.4,0.01,229,197,151,240.6,122.7,64.0,0.97,7
168,169,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.32,0.01,229,197,121,145.1,125.3,66.9,0.62,4
169,170,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.44,0.01,203,183,115,257.4,117.1,65.6,1.01,0
170,171,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.6,0.01,229,192,121,261.5,122.7,63.7,1.05,4
171,172,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.43,0.01,229,203,145,250.6,123.8,65.4,1.04,9
172,173,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.01,223,145,121,260.1,117.6,64.9,1.02,3
173,174,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,223,145,121,260.2,118.6,65.3,1.03,3
174,175,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.6,0.13,229,192,121,244.7,122.8,65.3,1.01,4
175,176,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,203,145,167.4,124.2,67.1,0.72,9
176,177,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.08,203,183,115,253.5,122.3,67.5,1.07,0
177,178,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.2,0.01,229,203,145,172.7,119.2,67.2,0.71,9
178,179,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.37,0.01,229,207,142,242.4,116.2,64.9,0.94,1
179,180,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,203,183,115,241.6,124.4,64.1,0.99,0
180,181,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.12,229,207,142,243.7,120.1,62.7,0.94,1
181,182,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,195,149,244.1,122.9,63.0,0.97,7
182,183,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.01,229,197,151,196.1,123.5,61.8,0.77,7
183,184,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.24,0.12,229,207,142,239.7,116.1,64.7,0.92,1
184,185,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.12,0.01,229,167,116,211.1,122.8,66.4,0.88,6
185,186,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.12,0.01,229,203,145,257.2,124.3,62.8,1.03,9
186,187,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.42,0.14,229,197,121,240.3,114.2,63.6,0.9,4
187,188,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,192,121,258.7,125.1,62.5,1.04,4
188,189,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.8,0.1,223,145,121,244.0,124.2,67.4,1.05,3
189,190,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.18,0.01,229,194,144,245.3,114.6,67.3,0.97,8
190,191,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.36,0.13,182,121,93,249.7,115.7,65.4,0.97,5
191,192,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.01,229,197,151,254.3,114.7,63.4,0.95,7
192,193,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.36,0.14,229,197,121,258.0,115.0,63.9,0.97,4
193,194,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.24,0.01,229,195,149,250.3,122.8,67.1,1.06,7
194,195,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.45,0.01,151,115,103,254.8,118.1,64.4,0.99,2
195,196,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.47,0.01,151,115,103,253.7,116.8,67.7,1.03,2
196,197,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.12,0.01,182,121,93,249.2,122.4,63.1,0.99,5
197,198,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.38,0.01,229,203,145,251.4,122.9,62.7,0.99,9
198,199,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.21,0.01,151,115,103,251.3,121.4,65.8,1.03,2
199,200,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.1,0.01,229,167,116,132.3,118.2,62.7,0.5,6
200,201,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.11,0.01,229,203,145,237.1,122.6,63.2,0.94,9
201,202,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.49,0.01,229,203,145,256.6,120.8,67.6,1.07,9
202,203,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,229,195,149,241.3,117.4,62.6,0.91,7
203,204,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.39,0.01,182,121,93,248.0,118.2,65.0,0.98,5
204,205,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.13,0.1,223,145,121,164.6,120.0,67.0,0.68,3
